id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,language,explicit,mood_tag
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,english,False,uplifting
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020s,instrumental,False,cozy
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,english,False,aggressive
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,40,2020s,instrumental,False,calm
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,85,2020s,english,True,pumped
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,30,2010s,instrumental,False,dreamy
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,35,1990s,english,False,soothing
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2010s,english,False,nostalgic
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,45,2020s,instrumental,False,productive
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,60,2010s,english,False,warm
11,City Lights Anthem,Rae Solstice,hip-hop,confident,0.68,95,0.62,0.81,0.15,72,2020s,english,True,bold
12,Bass Drop Odyssey,Volt Circuit,edm,euphoric,0.95,128,0.88,0.90,0.04,88,2020s,instrumental,False,euphoric
13,Dust Road Memories,Sable Creek,country,nostalgic,0.45,100,0.55,0.48,0.55,50,2000s,english,False,wistful
14,Iron Requiem,Grave Chorus,metal,aggressive,0.97,168,0.35,0.55,0.03,42,2010s,english,True,furious
15,Moonlit Sonata Dreams,Elena Voss,classical,peaceful,0.20,66,0.52,0.20,0.95,25,1800s,instrumental,False,serene
16,Velvet Confession,Honey Static,r&b,sultry,0.55,88,0.68,0.70,0.40,65,2020s,english,True,sultry
17,Cherry Blossom Skyline,Yuna Prism,k-pop,joyful,0.80,126,0.90,0.85,0.12,80,2020s,korean,False,euphoric
18,Paper Planes Over Kyoto,Yuna Prism,k-pop,happy,0.78,120,0.86,0.83,0.20,74,2020s,korean,False,uplifting
19,Deadline Sprint,LoRoom,lofi,focused,0.44,84,0.52,0.61,0.74,48,2020s,instrumental,False,productive
20,Quiet Desk Lamp,Paper Lanterns,lofi,focused,0.33,70,0.55,0.52,0.88,38,2020s,instrumental,False,calm
21,Thunder Gym Cycle,Max Pulse,edm,intense,0.94,140,0.72,0.89,0.06,81,2020s,english,False,pumped
22,Barbell Gospel,Rae Solstice,hip-hop,intense,0.89,102,0.58,0.84,0.08,70,2020s,english,True,pumped
23,Sunday Slow Roast,Slow Stereo,jazz,relaxed,0.31,84,0.69,0.50,0.91,32,1990s,english,False,soothing
24,Blue Note Curfew,Miles Ardent,jazz,moody,0.40,96,0.44,0.53,0.80,36,1960s,instrumental,False,smoky
25,Neon Rain Highway,Neon Echo,synthwave,moody,0.72,112,0.45,0.71,0.18,56,2010s,english,False,nostalgic
26,Analog Heartbeat,Volt Circuit,synthwave,euphoric,0.83,124,0.79,0.86,0.09,68,2010s,instrumental,False,euphoric
27,Cathedral of Static,Grave Chorus,metal,intense,0.96,160,0.30,0.52,0.04,44,2020s,english,True,furious
28,Winter Fields,Elena Voss,classical,peaceful,0.18,58,0.48,0.18,0.97,22,1800s,instrumental,False,serene
29,Morning Adagio,Clara Nyquist,classical,peaceful,0.22,64,0.56,0.22,0.94,28,2000s,instrumental,False,serene
30,Slow Burn Letter,Honey Static,r&b,sultry,0.50,82,0.64,0.68,0.45,60,2020s,english,False,sultry
31,Porchlight Goodbye,Sable Creek,country,sad,0.38,92,0.32,0.44,0.62,46,2000s,english,False,wistful
32,Long Way From Tulsa,Sable Creek,country,nostalgic,0.52,104,0.58,0.50,0.48,52,2010s,english,False,wistful
33,Festival Fireflies,Indigo Parade,indie pop,happy,0.71,118,0.80,0.78,0.38,58,2010s,english,False,warm
34,Static Bloom,Indigo Parade,indie rock,moody,0.64,110,0.42,0.61,0.30,49,2020s,english,False,brooding
35,Corazon Electrico,Mar Adentro,latin pop,joyful,0.85,128,0.88,0.90,0.14,76,2020s,spanish,False,euphoric
